"gene_ensembl_ID" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene" "DE"
"ENSMUSG00000047712" 24.7005701894878 -20.196915040049 2.63668256796285 -7.65997215040321 1.85973407292005e-14 4.71371059251659e-12 "Ust" TRUE
"ENSMUSG00000035540" 2818.17209990142 14.4393427965849 1.89961447467573 7.60119644753168 2.93405314009966e-14 7.25077882247128e-12 "Gc" TRUE
"ENSMUSG00000032083" 4213.12392743149 14.3272774772359 1.89102288237898 7.57646965075939 3.5508471957936e-14 8.56100598302921e-12 "Apoa1" TRUE
"ENSMUSG00000048330" 19.1342124919321 -20.1112918818759 2.65717741366731 -7.56866733039072 3.77072396768397e-14 8.74470611672046e-12 "Ric3" TRUE
"ENSMUSG00000027249" 1551.7731572213 16.1492897115608 2.13402480006288 7.56752672747052 3.80396927687385e-14 8.74470611672046e-12 "F2" TRUE
"ENSMUSG00000040697" 28.9049305257462 -20.857070441671 2.76125476134942 -7.55347559146561 4.23793964867131e-14 9.30934076158131e-12 "Dnajc16" TRUE
"ENSMUSG00000025384" 31.829357976873 -20.1396405065268 2.66535336782861 -7.55608646478795 4.15377773761677e-14 9.30934076158131e-12 "Faap100" TRUE
"ENSMUSG00000033883" 41.8010004976426 -19.946770502174 2.65309902087276 -7.51829100431099 5.54968702653792e-14 1.19257948385494e-11 "Zfp267" TRUE
"ENSMUSG00000072849" 9504.65221894173 18.7633439149851 2.49892437512683 7.50856812704978 5.9777575809622e-14 1.25723688697471e-11 "Serpina1e" TRUE
"ENSMUSG00000039529" 54.9452870630741 -20.5503237564786 2.75906607411889 -7.44828982141769 9.45579201074324e-14 1.94730216721244e-11 "Atp8b1" TRUE
"ENSMUSG00000078922" 3704.47195977463 -14.4879270527146 1.95907724485456 -7.39528116656278 1.4110936902966e-13 2.84666553644528e-11 "Tgtp1" TRUE
"ENSMUSG00000009654" 1466.45901390366 16.0677755516727 2.17456519831377 7.38896013057333 1.4798152817818e-13 2.86823020792414e-11 "Oit3" TRUE
"ENSMUSG00000033831" 1168.50241412394 11.8246425303303 1.59986563993462 7.39102224285133 1.45704240255167e-13 2.86823020792414e-11 "Fgb" TRUE
"ENSMUSG00000002006" 27.2167030149412 -21.2808741070616 2.88913845782827 -7.3658200940145 1.76061127029263e-13 3.34685430900821e-11 "Pdzd4" TRUE
"ENSMUSG00000056966" 18.0633864998487 -20.7676464240218 2.82699204082378 -7.34619911344715 2.03922530320373e-13 3.80334757022055e-11 "Gjc3" TRUE
"ENSMUSG00000075602" 9639.55569438894 -11.4274363588269 1.55799589817237 -7.33470246759442 2.22214596089331e-13 4.06776163396859e-11 "Ly6a" TRUE
"ENSMUSG00000031668" 65.2336575752216 -19.2003466246963 2.62457216363797 -7.31561009855502 2.56214607024098e-13 4.6048752553331e-11 "Eif2ak3" TRUE
"ENSMUSG00000049300" 27.4327408986035 -20.1176657479898 2.76557001775912 -7.27432884316944 3.48146970539942e-13 6.1454157210488e-11 "Prmt6" TRUE
"ENSMUSG00000020787" 1582.70486756649 28.6078914407064 3.97866212461483 7.19032944861481 6.46351700620796e-13 1.1209099229187e-10 "P2rx1" TRUE
"ENSMUSG00000043183" 38.839071393665 -19.0700353125226 2.6679499093086 -7.14782359518308 8.81645064450243e-13 1.50259680380873e-10 "Simc1" TRUE
"ENSMUSG00000066154" 2194.31838349927 14.5559925154224 2.042663275432 7.12598727871288 1.03337261975695e-12 1.71665086095576e-10 "Mup3" TRUE
"ENSMUSG00000052974" 884.17890002397 13.5680004539426 1.90432199543589 7.12484573851545 1.04197320847087e-12 1.71665086095576e-10 "Cyp2f2" TRUE
"ENSMUSG00000035595" 21.0240016631643 -18.4986828970674 2.60417532740147 -7.10347060830425 1.21662231890254e-12 1.96088405265105e-10 "Fam174c" TRUE
"ENSMUSG00000035273" 1734.08689837463 14.089582291831 1.98389720033748 7.10197196177008 1.22989186913874e-12 1.96088405265105e-10 "Hpse" TRUE
"ENSMUSG00000045598" 30.553657278842 -20.1204410122893 2.84569457581149 -7.07048507008227 1.54393046415767e-12 2.42250041876168e-10 "Zfp553" TRUE
"ENSMUSG00000022833" 21.02728602589 -19.2237014188271 2.7284741704201 -7.04558673387303 1.8468162893651e-12 2.85246547193344e-10 "Ccdc14" TRUE
"ENSMUSG00000026357" 2378.50209461659 15.4213936496194 2.19568847850884 7.02348889679131 2.16395353510462e-12 3.29087395300141e-10 "Rgs18" TRUE
"ENSMUSG00000023993" 2131.69528024624 13.5823214664073 1.93509004929658 7.01896093742231 2.23524258382533e-12 3.34778377895658e-10 "Treml1" TRUE
"ENSMUSG00000000320" 5911.57942364323 10.9052326967727 1.55654995149667 7.00602809841536 2.45178696685933e-12 3.61730062200067e-10 "Alox12" TRUE
"ENSMUSG00000059481" 2049.98172346316 29.7118768331285 4.24707717569764 6.99584104643635 2.63672344756729e-12 3.83294283517687e-10 "Plg" TRUE
"ENSMUSG00000038860" 76.9295525699076 -18.1762964420189 2.60575764233451 -6.97543629795697 3.04923022864112e-12 4.36835374059674e-10 "Garnl3" TRUE
"ENSMUSG00000030359" 3189.0622569687 17.1881855463742 2.47643611316931 6.94069411077071 3.9017804403666e-12 5.50987137900341e-10 "Pzp" TRUE
"ENSMUSG00000026938" 1627.4902825328 29.2932785740039 4.24708734585421 6.8972630390092 5.30139680027612e-12 7.38088836207457e-10 "Fcna" TRUE
"ENSMUSG00000031629" 16.9787852537316 -19.833757021361 2.89404480638675 -6.85329991352957 7.21655654575903e-12 9.78671056862163e-10 "Cenpu" TRUE
"ENSMUSG00000073830" 946.61379146455 15.4362522401577 2.25245307292509 6.85308494356858 7.22741397581567e-12 9.78671056862163e-10 "Mup14" TRUE
"ENSMUSG00000029298" 1001.44396628847 -12.6419001341524 1.84784435417834 -6.84143126317248 7.84058241276875e-12 1.04735347500296e-09 "Gbp9" TRUE
"ENSMUSG00000022181" 1372.89850326334 29.0164342239408 4.24711741832544 6.83203014325455 8.37212518437736e-12 1.10344609930094e-09 "C6" TRUE
"ENSMUSG00000060397" 23.3813310632825 -20.1335489014174 2.96645292227036 -6.78707851733183 1.14426942102957e-11 1.48830305616806e-09 "Zfp128" TRUE
"ENSMUSG00000046879" 840.287849014364 -11.3074991868834 1.68115923019618 -6.72601320790055 1.74374742994158e-11 2.23856407077565e-09 "Irgm1" TRUE
"ENSMUSG00000022661" 815.099234475366 -11.7946416384305 1.75801105902852 -6.70908273179366 1.95851611557916e-11 2.48204253878205e-09 "Cd200" TRUE
"ENSMUSG00000026104" 1511.13168397229 -10.0016297610407 1.5030521318985 -6.65421348254079 2.84819011548909e-11 3.56384294830502e-09 "Stat1" TRUE
"ENSMUSG00000038930" 36.9629666077256 -19.3149582502955 2.90519461763094 -6.64842146308463 2.96252984075295e-11 3.66057593448037e-09 "Rccd1" TRUE
"ENSMUSG00000022464" 551.493839217285 28.1471757022454 4.24719017125887 6.62724638343722 3.42006531428126e-11 4.17374637428028e-09 "Slc38a4" TRUE
"ENSMUSG00000020053" 998.89029740185 14.8663123988267 2.24673081406739 6.61686407011676 3.66898570426344e-11 4.42291752276147e-09 "Igf1" TRUE
"ENSMUSG00000002944" 1415.49248712657 9.06707093246315 1.37449192487049 6.59667093592966 4.20492634145007e-11 5.00791528737758e-09 "Cd36" TRUE
"ENSMUSG00000048120" 1555.60366705024 -11.3935214787312 1.72863315808245 -6.59105804227997 4.3670310328517e-11 5.13905973330227e-09 "Entpd1" TRUE
"ENSMUSG00000028001" 3313.39681006966 13.3275281312304 2.0227786429615 6.5887229814321 4.43625615127752e-11 5.15910494769156e-09 "Fga" TRUE
"ENSMUSG00000078921" 3627.19434451184 -12.4541874668892 1.89122403905563 -6.58525230734067 4.54113560900072e-11 5.15966959712324e-09 NA TRUE
