"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"INTERPRO","DEAD/DEAH_box_helicase_dom","0.55%","14","2526","73","22271","6.55e-2","1.00e+0","1.69","1.00e+0","9.99e-1","3.34e-2"
"GOTERM_MF_DIRECT","cis-regulatory region sequence-specific DNA binding","0.55%","14","2457","96","28924","6.23e-2","4.31e-1","1.72","1.00e+0","4.02e-1","3.20e-2"
"GOTERM_BP_DIRECT","negative regulation of transforming growth factor beta receptor signaling pathway","0.55%","14","2485","97","29712","6.04e-2","5.69e-1","1.73","1.00e+0","5.51e-1","3.09e-2"
"UP_KW_CELLULAR_COMPONENT","Lipid droplet","0.55%","14","2244","66","18649","4.87e-2","1.95e-1","1.76","9.26e-1","1.61e-1","2.36e-2"
"KEGG_PATHWAY","Renal cell carcinoma","0.55%","14","1084","70","9565","4.86e-2","2.58e-1","1.76","1.00e+0","2.31e-1","2.36e-2"
"GOTERM_MF_DIRECT","unfolded protein binding","0.55%","14","2457","92","28924","4.69e-2","3.68e-1","1.79","1.00e+0","3.43e-1","2.31e-2"
"UP_SEQ_FEATURE","DOMAIN:Tyrosine specific protein phosphatases","0.55%","14","2463","69","22253","3.77e-2","1.00e+0","1.83","1.00e+0","9.95e-1","1.76e-2"
"GOTERM_MF_DIRECT","histone H2AXY142 phosphatase activity","0.55%","14","2457","89","28924","3.73e-2","3.11e-1","1.85","1.00e+0","2.91e-1","1.77e-2"
"GOTERM_MF_DIRECT","non-membrane spanning protein tyrosine phosphatase activity","0.55%","14","2457","89","28924","3.73e-2","3.11e-1","1.85","1.00e+0","2.91e-1","1.77e-2"
"GOTERM_MF_DIRECT","protein tyrosine phosphatase activity, metal-dependent","0.55%","14","2457","89","28924","3.73e-2","3.11e-1","1.85","1.00e+0","2.91e-1","1.77e-2"
"UP_SEQ_FEATURE","REPEAT:TPR 6","0.55%","14","2463","66","22253","2.72e-2","1.00e+0","1.92","1.00e+0","9.95e-1","1.21e-2"
"INTERPRO","Zinc_finger_PHD-type_CS","0.55%","14","2526","61","22271","1.77e-2","1.00e+0","2.02","1.00e+0","9.99e-1","7.34e-3"
"GOTERM_MF_DIRECT","SNARE binding","0.55%","14","2457","77","28924","1.25e-2","1.36e-1","2.14","1.00e+0","1.27e-1","5.03e-3"
"GOTERM_BP_DIRECT","somatic stem cell population maintenance","0.55%","14","2485","78","29712","1.23e-2","2.17e-1","2.15","1.00e+0","2.10e-1","4.94e-3"
"GOTERM_BP_DIRECT","mRNA transport","0.55%","14","2485","77","29712","1.10e-2","1.99e-1","2.17","1.00e+0","1.93e-1","4.39e-3"
"GOTERM_CC_DIRECT","clathrin-coated vesicle","0.55%","14","2509","76","29722","1.07e-2","8.76e-2","2.18","1.00e+0","7.77e-2","4.22e-3"
"GOTERM_BP_DIRECT","negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","0.55%","14","2485","74","29712","7.93e-3","1.70e-1","2.26","1.00e+0","1.64e-1","3.01e-3"
"UP_KW_MOLECULAR_FUNCTION","Initiation factor","0.55%","14","1476","53","12454","7.61e-3","3.93e-2","2.23","5.09e-1","2.96e-2","2.79e-3"
"GOTERM_BP_DIRECT","protein autoubiquitination","0.55%","14","2485","73","29712","7.06e-3","1.55e-1","2.29","1.00e+0","1.50e-1","2.64e-3"
"GOTERM_CC_DIRECT","nuclear pore","0.55%","14","2509","70","29722","5.30e-3","5.24e-2","2.37","9.97e-1","4.65e-2","1.91e-3"
"GOTERM_MF_DIRECT","translation initiation factor activity","0.55%","14","2457","68","28924","4.32e-3","6.00e-2","2.42","1.00e+0","5.60e-2","1.51e-3"
"GOTERM_BP_DIRECT","regulation of circadian rhythm","0.55%","14","2485","68","29712","3.79e-3","1.04e-1","2.46","1.00e+0","1.00e-1","1.30e-3"
"GOTERM_MF_DIRECT","transcription corepressor binding","0.55%","14","2457","67","28924","3.78e-3","5.36e-2","2.46","1.00e+0","5.00e-2","1.30e-3"
"GOTERM_BP_DIRECT","regulation of autophagy","0.55%","14","2485","65","29712","2.51e-3","8.04e-2","2.58","1.00e+0","7.79e-2","8.18e-4"
"GOTERM_CC_DIRECT","cortical actin cytoskeleton","0.55%","14","2509","64","29722","2.35e-3","2.81e-2","2.59","9.25e-1","2.49e-2","7.61e-4"
"GOTERM_BP_DIRECT","negative regulation of protein ubiquitination","0.55%","14","2485","61","29712","1.37e-3","5.21e-2","2.74","1.00e+0","5.05e-2","4.14e-4"
"GOTERM_CC_DIRECT","peroxisomal membrane","0.55%","14","2509","60","29722","1.27e-3","1.74e-2","2.76","7.52e-1","1.55e-2","3.80e-4"
"UP_SEQ_FEATURE","MOTIF:Bipartite nuclear localization signal","0.55%","14","2463","46","22253","1.09e-3","1.80e-1","2.75","9.97e-1","1.79e-1","3.08e-4"
"GOTERM_BP_DIRECT","positive regulation of TORC1 signaling","0.55%","14","2485","57","29712","6.99e-4","3.35e-2","2.94","9.86e-1","3.24e-2","1.94e-4"
"GOTERM_BP_DIRECT","regulation of mitotic cell cycle","0.55%","14","2485","53","29712","3.29e-4","1.96e-2","3.16","8.67e-1","1.90e-2","8.34e-5"
"GOTERM_BP_DIRECT","response to ionizing radiation","0.55%","14","2485","52","29712","2.69e-4","1.66e-2","3.22","8.07e-1","1.61e-2","6.65e-5"
"GOTERM_BP_DIRECT","positive regulation of DNA repair","0.55%","14","2485","52","29712","2.69e-4","1.66e-2","3.22","8.07e-1","1.61e-2","6.65e-5"
"GOTERM_MF_DIRECT","transcription coregulator binding","0.55%","14","2457","49","28924","1.65e-4","3.67e-3","3.36","2.87e-1","3.43e-3","3.83e-5"
"GOTERM_BP_DIRECT","negative regulation of cold-induced thermogenesis","0.55%","14","2485","48","29712","1.12e-4","8.47e-3","3.49","4.97e-1","8.21e-3","2.49e-5"
"GOTERM_MF_DIRECT","calcium-dependent protein binding","0.51%","13","2457","93","28924","9.47e-2","5.72e-1","1.65","1.00e+0","5.34e-1","5.06e-2"
"KEGG_PATHWAY","Acute myeloid leukemia","0.51%","13","1084","70","9565","9.28e-2","3.73e-1","1.64","1.00e+0","3.35e-1","4.89e-2"
"INTERPRO","Znf_B-box","0.51%","13","2526","69","22271","8.63e-2","1.00e+0","1.66","1.00e+0","9.99e-1","4.48e-2"
"GOTERM_CC_DIRECT","male germ cell nucleus","0.51%","13","2509","92","29722","8.59e-2","3.91e-1","1.67","1.00e+0","3.47e-1","4.52e-2"
"SMART","RhoGAP","0.51%","13","1284","65","10943","7.29e-2","1.00e+0","1.70","1.00e+0","1.00e+0","3.67e-2"
"GOTERM_CC_DIRECT","cytoplasmic ribonucleoprotein granule","0.51%","13","2509","89","29722","7.05e-2","3.40e-1","1.73","1.00e+0","3.01e-1","3.58e-2"
"GOTERM_BP_DIRECT","cellular response to xenobiotic stimulus","0.51%","13","2485","89","29712","6.67e-2","6.15e-1","1.75","1.00e+0","5.96e-1","3.36e-2"
"INTERPRO","RhoGAP_dom","0.51%","13","2526","66","22271","6.58e-2","1.00e+0","1.74","1.00e+0","9.99e-1","3.25e-2"
"UP_SEQ_FEATURE","DOMAIN:Rho-GAP","0.51%","13","2463","67","22253","6.23e-2","1.00e+0","1.75","1.00e+0","9.95e-1","3.05e-2"
"GOTERM_BP_DIRECT","negative regulation of ERK1 and ERK2 cascade","0.51%","13","2485","86","29712","5.39e-2","5.52e-1","1.81","1.00e+0","5.35e-1","2.62e-2"
"SMART","BBOX","0.51%","13","1284","61","10943","4.85e-2","1.00e+0","1.82","1.00e+0","1.00e+0","2.27e-2"
"GOTERM_BP_DIRECT","heterochromatin formation","0.51%","13","2485","84","29712","4.63e-2","4.98e-1","1.85","1.00e+0","4.82e-1","2.20e-2"
"INTERPRO","USP_dom","0.51%","13","2526","59","22271","3.11e-2","1.00e+0","1.94","1.00e+0","9.99e-1","1.35e-2"
"GOTERM_BP_DIRECT","positive regulation of proteasomal ubiquitin-dependent protein catabolic process","0.51%","13","2485","78","29712","2.81e-2","3.74e-1","1.99","1.00e+0","3.63e-1","1.23e-2"
"UP_SEQ_FEATURE","DOMAIN:USP","0.51%","13","2463","59","22253","2.63e-2","1.00e+0","1.99","1.00e+0","9.95e-1","1.11e-2"
"GOTERM_MF_DIRECT","metallopeptidase activity","0.51%","13","2457","76","28924","2.60e-2","2.34e-1","2.01","1.00e+0","2.19e-1","1.12e-2"
"GOTERM_BP_DIRECT","positive regulation of fibroblast proliferation","0.51%","13","2485","77","29712","2.57e-2","3.54e-1","2.02","1.00e+0","3.43e-1","1.11e-2"
"INTERPRO","Peptidase_C19_UCH","0.51%","13","2526","57","22271","2.42e-2","1.00e+0","2.01","1.00e+0","9.99e-1","1.01e-2"
"GOTERM_CC_DIRECT","cell leading edge","0.51%","13","2509","75","29722","2.27e-2","1.62e-1","2.05","1.00e+0","1.43e-1","9.59e-3"
"KEGG_PATHWAY","Pyrimidine metabolism","0.51%","13","1084","56","9565","2.09e-2","1.58e-1","2.05","9.99e-1","1.42e-1","8.53e-3"
"GOTERM_MF_DIRECT","receptor tyrosine kinase binding","0.51%","13","2457","72","28924","1.76e-2","1.81e-1","2.13","1.00e+0","1.69e-1","7.15e-3"
"GOTERM_BP_DIRECT","adult locomotory behavior","0.51%","13","2485","73","29712","1.74e-2","2.77e-1","2.13","1.00e+0","2.69e-1","7.08e-3"
"INTERPRO","WW_dom","0.51%","13","2526","52","22271","1.20e-2","1.00e+0","2.20","1.00e+0","9.99e-1","4.48e-3"
"UP_SEQ_FEATURE","DOMAIN:Phorbol-ester/DAG-type","0.51%","13","2463","53","22253","1.16e-2","8.75e-1","2.22","1.00e+0","8.71e-1","4.33e-3"
"GOTERM_BP_DIRECT","neuromuscular process controlling balance","0.51%","13","2485","68","29712","1.01e-2","1.91e-1","2.29","1.00e+0","1.85e-1","3.80e-3"
"GOTERM_BP_DIRECT","mitochondrial respiratory chain complex I assembly","0.51%","13","2485","68","29712","1.01e-2","1.91e-1","2.29","1.00e+0","1.85e-1","3.80e-3"
"SMART","WW","0.51%","13","1284","48","10943","7.99e-3","5.09e-1","2.31","9.87e-1","5.09e-1","2.81e-3"
"GOTERM_BP_DIRECT","regulation of alternative mRNA splicing, via spliceosome","0.51%","13","2485","65","29712","7.07e-3","1.55e-1","2.39","1.00e+0","1.50e-1","2.52e-3"
"GOTERM_BP_DIRECT","epidermis development","0.51%","13","2485","65","29712","7.07e-3","1.55e-1","2.39","1.00e+0","1.50e-1","2.52e-3"
"GOTERM_BP_DIRECT","response to activity","0.51%","13","2485","64","29712","6.22e-3","1.46e-1","2.43","1.00e+0","1.41e-1","2.18e-3"
"GOTERM_BP_DIRECT","nucleocytoplasmic transport","0.51%","13","2485","64","29712","6.22e-3","1.46e-1","2.43","1.00e+0","1.41e-1","2.18e-3"
"GOTERM_MF_DIRECT","syntaxin binding","0.51%","13","2457","62","28924","5.41e-3","6.98e-2","2.47","1.00e+0","6.52e-2","1.85e-3"
"GOTERM_BP_DIRECT","cellular response to glucose starvation","0.51%","13","2485","62","29712","4.78e-3","1.19e-1","2.51","1.00e+0","1.15e-1","1.61e-3"
"GOTERM_BP_DIRECT","cellular response to UV","0.51%","13","2485","60","29712","3.61e-3","9.98e-2","2.59","1.00e+0","9.66e-2","1.17e-3"
"GOTERM_CC_DIRECT","axon cytoplasm","0.51%","13","2509","59","29722","3.37e-3","3.70e-2","2.61","9.75e-1","3.28e-2","1.08e-3"
"GOTERM_BP_DIRECT","regulation of postsynapse assembly","0.51%","13","2485","58","29712","2.69e-3","8.18e-2","2.68","1.00e+0","7.92e-2","8.36e-4"
